Year,Month,Season,url,product_id,BrandName,Category,Individual_Category,Category_by_Gender,Description,DiscountPrice (in Rupees),OriginalPrice (in Rupees),DiscountOffer (in %),PrimaryColor,Historical Sales Data (in units),Market Condition,Size,Age Range,Customer Reviews,Geographic Location,Material,Pattern,Social Media Mentions,Search Trends,Return Rate (in units),Events and Festivals,Event and Festival Name,Customer Ratings (1 to 5 Scale),CategoryType
2022,1,Spring,https://www.myntra.com/94opxb5dva,WO6PXC983VAB,Levis,Clothing,Shirts,Men,Trendy and stylish,1452.06,2163.61,32.89,Purple,819,Declining,L,25-34,251,Kolkata,Polyester,Printed,444,8309,0.05,Holi,Holi,4,Athleisure
2022,2,Spring,https://www.myntra.com/wrppbrftz3,UHGD7A08IRKS,Nike,Accessories,Handbags,Women,Eco-friendly material,2860.36,5609.43,49.01,Pink,380,Growing,M,18-24,557,Jaipur,Leather,Solid,86,2973,0.27,Navratri,Navratri,4,Indian and Fusion Wear
2022,1,Fall,https://www.myntra.com/z8y7568gom,8V7AHDRPG702,H&M,Footwear,Boots,Women,High quality product,3986.07,6238.02,36.1,Red,716,Declining,XL,35-44,204,Bangalore,Wool,Floral,488,9112,0.08,Eid,Eid,4,Western Wear
2022,2,Summer,https://www.myntra.com/5xvw3tcaga,H44GEX68PPNB,Adidas,Footwear,Boots,Unisex,Trendy and stylish,1894.75,3030.34,37.47,Red,650,Stable,XL,25-34,748,Hyderabad,Polyester,Printed,487,3002,0.07,New Year,New Year,4,Gothic Fashion
2022,9,Spring,https://www.myntra.com/28ilsoelt0,AY3SXRZ26UFP,Nike,Footwear,Sandals,Unisex,Eco-friendly material,3295.76,4251.09,22.47,White,609,Declining,XS,35-44,270,Ahmedabad,Silk,Solid,398,7208,0.08,New Year,New Year,1,Vintage Clothing
2022,10,Winter,https://www.myntra.com/0t26dn5ez9,UNUW5VQ4GL9U,Nike,Footwear,Sandals,Men,Limited edition,3649.06,6132.06,40.49,Yellow,954,Stable,L,35-44,46,Jaipur,Silk,Checked,105,7208,0.3,Eid,Eid,1,Business Formals
2022,12,Spring,https://www.myntra.com/1o1oauvngf,PYZOLQSK8NSO,Prada,Accessories,Belts,Men,Eco-friendly material,4729.72,8212.08,42.41,Pink,594,Growing,XL,18-24,59,Pune,Leather,Floral,433,7923,0.27,Diwali,Diwali,5,Retro Style
2022,5,Summer,https://www.myntra.com/ilc7c2gg0o,9SM9KCOVZQO4,Zara,Clothing,Jeans,Women,Trendy and stylish,2755.24,4993.48,44.82,Orange,337,Growing,XS,18-24,570,Mumbai,Wool,Striped,287,1848,0.09,New Year,New Year,4,Beachwear
2022,12,Spring,https://www.myntra.com/687uhp0236,JWIHBSFMAAV2,Zara,Accessories,Belts,Unisex,Comfortable and durable,3507.57,5417.77,35.26,White,76,Stable,M,25-34,578,Pune,Cotton,Polka Dot,18,2761,0.15,Navratri,Navratri,5,Indian and Fusion Wear
2022,4,Fall,https://www.myntra.com/4339kdrrqj,75FWL6M4QIRR,Nike,Clothing,Jackets,Unisex,Trendy and stylish,1972.84,3574.8,44.81,Green,749,Declining,XXL,35-44,334,Chandigarh,Leather,Floral,33,445,0.08,Christmas,Christmas,5,Business Formals
2022,12,Fall,https://www.myntra.com/td4dsoc3z2,TKFIY8OW9XC1,Reebok,Accessories,Watches,Men,Comfortable and durable,4751.68,7022.01,32.33,Purple,430,Stable,L,35-44,546,Kolkata,Denim,Floral,49,4219,0.17,New Year,New Year,1,Bohemian Style
2022,6,Spring,https://www.myntra.com/oa6t0rqilt,TPEMVDYDZUFY,Under Armour,Accessories,Watches,Unisex,Comfortable and durable,3491.99,4056.93,13.93,White,398,Growing,S,35-44,956,Chandigarh,Polyester,Striped,437,111,0.23,Diwali,Diwali,5,Formal Wear
2022,1,Fall,https://www.myntra.com/inchrwzcy1,QY8PAGVUFW3D,Under Armour,Clothing,T-Shirts,Unisex,Comfortable and durable,636.05,737.3,13.73,White,313,Declining,XL,25-34,984,Pune,Cotton,Polka Dot,69,8009,0.15,Eid,Eid,1,Maternity
2022,10,Fall,https://www.myntra.com/yqcpwwi7tn,P4RNE3JR6V1V,Under Armour,Clothing,Dresses,Unisex,High quality product,4075.67,5281.37,22.83,Green,192,Growing,S,25-34,714,Mumbai,Silk,Striped,196,2153,0.2,Diwali,Diwali,5,Sports and Active Wear
2022,7,Fall,https://www.myntra.com/tuiujudwqw,YR0S4HO7XBNP,Under Armour,Footwear,Boots,Women,Limited edition,1120.88,1721.5,34.89,Brown,727,Declining,M,35-44,994,Bangalore,Polyester,Floral,113,7787,0.02,Eid,Eid,2,Casual Wear
2022,8,Summer,https://www.myntra.com/ihl3e421op,0VEVHPQRRYQ3,Under Armour,Clothing,T-Shirts,Unisex,Limited edition,1896.05,3710.29,48.9,Brown,667,Stable,XL,25-34,7,Mumbai,Wool,Striped,95,4163,0.18,Christmas,Christmas,3,Maternity
2022,7,Fall,https://www.myntra.com/vxhq2zrm9x,0LS6Y687GT9W,H&M,Accessories,Hats,Men,Limited edition,1974.59,3839.25,48.57,Orange,115,Stable,L,18-24,561,Pune,Leather,Floral,464,6483,0.12,Diwali,Diwali,2,Traditional Wear
2022,6,Winter,https://www.myntra.com/xwn425g8js,8XU2G2FXAA1R,Levis,Footwear,Sneakers,Women,High quality product,3901.16,7147.42,45.42,White,309,Declining,S,18-24,941,Chennai,Wool,Checked,56,6440,0.29,Christmas,Christmas,1,Vintage Clothing
2022,1,Spring,https://www.myntra.com/528cjucfck,5KO54TE3KTC8,Nike,Accessories,Belts,Women,Trendy and stylish,1264.2,1885.16,32.94,Blue,823,Stable,XL,25-34,412,Kolkata,Silk,Printed,27,6690,0.28,Diwali,Diwali,4,Gothic Fashion
2022,12,Spring,https://www.myntra.com/cry2wos0x8,RTJHQYX5008R,Levis,Clothing,Dresses,Men,High quality product,1521.05,2422.12,37.2,Yellow,742,Declining,S,18-24,289,Pune,Denim,Solid,373,4658,0.28,Diwali,Diwali,1,Beachwear
2022,11,Summer,https://www.myntra.com/6c8qrdp9l3,QV0D5AW1Z979,Under Armour,Footwear,Sandals,Unisex,Comfortable and durable,4077.9,6363.83,35.92,White,861,Stable,S,35-44,428,Chandigarh,Polyester,Floral,68,360,0.05,Diwali,Diwali,5,Urban Fashion
2022,1,Summer,https://www.myntra.com/4ffnv1e9f6,QJVMC70XRJ9J,Prada,Clothing,T-Shirts,Women,Comfortable and durable,989.77,1367.54,27.62,Black,680,Stable,M,25-34,4,Chandigarh,Cotton,Solid,471,4269,0.03,Christmas,Christmas,2,Gothic Fashion
2022,12,Spring,https://www.myntra.com/quapcnmbdz,PL6C2EAIO0FK,Reebok,Accessories,Handbags,Women,Limited edition,3322.6,6373.02,47.86,Blue,487,Growing,S,18-24,554,Chandigarh,Cotton,Solid,10,6498,0.24,Diwali,Diwali,3,Formal Wear
2022,3,Fall,https://www.myntra.com/gzv8qc0dm9,8CM238XVM2Y5,Under Armour,Accessories,Handbags,Women,Limited edition,4731.74,6402.01,26.09,Orange,135,Stable,L,35-44,514,Delhi,Denim,Floral,253,8888,0.25,Diwali,Diwali,1,Urban Fashion
2022,6,Winter,https://www.myntra.com/2elski5hqo,H0FRCVQKAV31,Prada,Clothing,Jackets,Women,Comfortable and durable,3451.16,4397.36,21.52,Orange,914,Declining,S,18-24,604,Chennai,Cotton,Solid,414,2724,0.02,Navratri,Navratri,3,Party Wear
2022,4,Spring,https://www.myntra.com/6ug813x82v,SXCO0UK0MBA7,Prada,Accessories,Watches,Men,Comfortable and durable,4848.5,9453.46,48.71,Blue,112,Stable,S,18-24,909,Jaipur,Leather,Checked,128,8133,0.22,Holi,Holi,1,Party Wear
2022,1,Summer,https://www.myntra.com/brhf2sx0us,WYG0N5VMD9EL,Levis,Footwear,Flip Flops,Men,Eco-friendly material,1322.45,2132.23,37.98,Black,639,Declining,XS,35-44,688,Kolkata,Cotton,Printed,328,2976,0.02,Christmas,Christmas,4,Maternity
2022,4,Spring,https://www.myntra.com/warug8qbi5,C4H0RZEGGLOQ,Zara,Clothing,Dresses,Men,Trendy and stylish,3484.54,6654.85,47.64,Pink,324,Growing,S,35-44,186,Bangalore,Leather,Printed,449,5938,0.22,Diwali,Diwali,3,Maternity
2022,11,Spring,https://www.myntra.com/3gpuk7ankv,12CP54A2N3BD,Nike,Clothing,Dresses,Women,Eco-friendly material,2516.97,4128.99,39.04,Red,876,Declining,M,35-44,354,Bangalore,Denim,Checked,361,3549,0.14,New Year,New Year,4,Casual Wear
2022,4,Winter,https://www.myntra.com/3t2zimfkvm,GKWCLL46CHZ6,Under Armour,Footwear,Sneakers,Women,Trendy and stylish,4342.16,7432.6,41.58,Red,655,Declining,S,25-34,164,Chandigarh,Silk,Checked,479,2179,0.01,Holi,Holi,5,Bohemian Style
2022,2,Fall,https://www.myntra.com/fkpsxt4z4m,FVCB8XBKXJVW,Zara,Clothing,Dresses,Men,Comfortable and durable,3929.37,6044.03,34.99,Purple,165,Declining,XXL,18-24,612,Jaipur,Polyester,Polka Dot,44,7873,0.1,Holi,Holi,3,Ethnic Casuals
2022,3,Winter,https://www.myntra.com/s80wrlot28,O30MYZ2Y4A3V,Under Armour,Footwear,Formal Shoes,Men,Eco-friendly material,4041.83,6299.04,35.83,Purple,207,Stable,L,35-44,477,Chandigarh,Leather,Printed,413,9902,0.11,Diwali,Diwali,2,Beachwear
2022,3,Winter,https://www.myntra.com/ere8ti8vxc,9SAPL1IT2785,Prada,Footwear,Flip Flops,Women,Limited edition,2566.01,5126.67,49.95,Black,167,Declining,S,35-44,103,Pune,Wool,Floral,281,5439,0.08,Holi,Holi,3,Ethnic Casuals
2022,1,Spring,https://www.myntra.com/qhxczcm77h,J7FI44WK0GAK,Reebok,Footwear,Formal Shoes,Women,Trendy and stylish,2100.1,2592.7,19,Yellow,272,Growing,S,35-44,137,Pune,Denim,Polka Dot,109,9268,0.09,Navratri,Navratri,4,Western Wear
2022,3,Spring,https://www.myntra.com/hq54s5i0jk,0KGW401RK8GO,Gucci,Accessories,Watches,Unisex,Limited edition,3505.95,4859.69,27.86,Yellow,848,Stable,XXL,35-44,992,Jaipur,Polyester,Printed,59,3385,0.03,New Year,New Year,3,Athleisure
2022,12,Fall,https://www.myntra.com/as7ktlqoi0,HR5B4PX7BD3U,Puma,Clothing,Dresses,Unisex,High quality product,4459.92,6395.62,30.27,Pink,619,Growing,S,18-24,961,Ahmedabad,Cotton,Checked,422,973,0.22,New Year,New Year,1,Party Wear
2022,9,Fall,https://www.myntra.com/bb3nwn5xay,2D1TZDP9ITR9,Puma,Clothing,Jackets,Unisex,Trendy and stylish,1136.51,1922.06,40.87,Orange,486,Stable,XS,18-24,87,Pune,Polyester,Floral,388,9384,0.09,Holi,Holi,5,Sports and Active Wear
2022,11,Summer,https://www.myntra.com/0dnppkrr1x,F4RNTK2N7T7K,Adidas,Footwear,Flip Flops,Men,Limited edition,3988.85,6477.37,38.42,White,710,Declining,L,18-24,99,Jaipur,Cotton,Printed,452,5117,0.03,Holi,Holi,2,Beachwear
2022,12,Summer,https://www.myntra.com/32m0hwo46x,K924LK7ML0AN,Under Armour,Accessories,Belts,Men,Limited edition,505.54,968.47,47.8,Purple,685,Stable,L,18-24,540,Pune,Denim,Polka Dot,236,4390,0.04,Navratri,Navratri,4,Indian and Fusion Wear
2022,2,Summer,https://www.myntra.com/mdmayojpzm,W5VMZ0E3QLBI,Zara,Clothing,Shirts,Unisex,Comfortable and durable,3821.07,5762.49,33.69,Black,259,Stable,XXL,18-24,991,Mumbai,Polyester,Polka Dot,168,5052,0.14,Navratri,Navratri,3,Business Formals
2022,2,Summer,https://www.myntra.com/44vvwifnql,NXBKCY6PG7Z4,Zara,Footwear,Sneakers,Men,High quality product,3063.67,4272.71,28.3,Brown,564,Growing,M,25-34,572,Chandigarh,Silk,Checked,98,5792,0.13,Holi,Holi,3,Traditional Wear
2022,5,Fall,https://www.myntra.com/98ofinime0,SFOW88YJCQ5F,Adidas,Footwear,Sneakers,Women,Limited edition,539.8,609.97,11.5,White,726,Declining,XL,18-24,673,Chennai,Wool,Checked,138,1721,0.21,Eid,Eid,5,Sports and Active Wear
2022,4,Spring,https://www.myntra.com/qswrgutz7l,7LR51WKUESML,Prada,Accessories,Belts,Unisex,Limited edition,1415.01,2159.18,34.47,Black,358,Growing,XL,18-24,748,Bangalore,Denim,Solid,69,2454,0.02,Christmas,Christmas,2,Maternity
2022,3,Spring,https://www.myntra.com/8p6jmual1f,7Q4ZRXUYMG78,Levis,Accessories,Hats,Men,Limited edition,4635.98,7360.47,37.02,Black,369,Declining,XS,25-34,444,Delhi,Wool,Polka Dot,211,6953,0.17,Eid,Eid,3,Business Formals
2022,9,Winter,https://www.myntra.com/23ezc8rm0q,LJ4P8E0203VX,Nike,Clothing,Jeans,Men,Limited edition,3131.59,4124.56,24.07,Green,437,Declining,M,25-34,480,Chandigarh,Polyester,Checked,196,1113,0,Eid,Eid,2,Maternity
2022,7,Spring,https://www.myntra.com/apg58idx5d,CYCR4FJF14QK,H&M,Clothing,Jeans,Women,Comfortable and durable,2435.5,3191.21,23.68,Yellow,698,Declining,XL,18-24,777,Ahmedabad,Polyester,Floral,350,5725,0.3,Diwali,Diwali,5,Minimalist Fashion
2022,2,Summer,https://www.myntra.com/yxudjhm68r,J37FYXV2WQUS,Adidas,Clothing,Shirts,Women,Comfortable and durable,4222.52,8313.81,49.21,Orange,134,Stable,L,18-24,731,Pune,Cotton,Solid,34,4228,0.1,Diwali,Diwali,1,Ethnic Casuals
2022,5,Summer,https://www.myntra.com/y47gpaty9r,JW5E5AOWAWYS,Prada,Accessories,Hats,Unisex,Comfortable and durable,1661.23,3131.1,46.94,Purple,275,Stable,L,25-34,187,Chennai,Cotton,Printed,97,9494,0.14,New Year,New Year,3,Party Wear
2022,4,Fall,https://www.myntra.com/ft2g500h6k,53GFDBW0BN7H,Adidas,Footwear,Flip Flops,Men,Comfortable and durable,1661.8,3049.46,45.51,Blue,100,Declining,XL,25-34,902,Ahmedabad,Cotton,Printed,142,809,0.2,New Year,New Year,1,Party Wear
2022,10,Winter,https://www.myntra.com/e7riq3fk4t,58JEUI5THJ8W,Levis,Footwear,Formal Shoes,Men,Limited edition,3636.13,6117.2,40.56,Pink,144,Growing,XS,25-34,981,Mumbai,Silk,Printed,478,9728,0.19,Eid,Eid,5,Urban Fashion
2022,9,Spring,https://www.myntra.com/9zhsedwraz,82N1CL17AQKT,Under Armour,Accessories,Handbags,Men,Comfortable and durable,2483.04,4124.2,39.79,Orange,164,Declining,S,18-24,300,Bangalore,Leather,Solid,134,974,0.14,New Year,New Year,2,Business Formals
2022,2,Summer,https://www.myntra.com/jaqarfyglq,THODMYTDRD6J,H&M,Footwear,Sneakers,Women,Eco-friendly material,3354.38,6464.36,48.11,Brown,443,Growing,XXL,25-34,258,Hyderabad,Cotton,Polka Dot,403,8298,0.03,New Year,New Year,1,Sports and Active Wear
2022,3,Fall,https://www.myntra.com/rwyq45a8xy,CY5JDK9HWR20,Gucci,Accessories,Jewelry,Unisex,Trendy and stylish,1072.39,2116.27,49.33,Black,197,Declining,M,35-44,199,Jaipur,Cotton,Printed,476,4665,0.15,New Year,New Year,4,Vintage Clothing
2022,12,Summer,https://www.myntra.com/or85qhulfr,AO22J4CHJAZV,Under Armour,Accessories,Jewelry,Men,Limited edition,1012.9,1745.54,41.97,Orange,77,Growing,XXL,35-44,449,Jaipur,Leather,Solid,47,9359,0.24,Diwali,Diwali,1,Western Wear
2022,12,Winter,https://www.myntra.com/7mbmrl9d02,UO8J8KHS68VF,Puma,Accessories,Watches,Men,High quality product,4784.9,7404.65,35.38,Green,868,Declining,XS,18-24,518,Pune,Denim,Floral,215,1069,0.13,Diwali,Diwali,4,Vintage Clothing
2022,10,Summer,https://www.myntra.com/bon6fkr0ob,X6ZLVLB6X9R4,Zara,Clothing,Jeans,Men,High quality product,4176.31,4867.9,14.21,Green,436,Growing,S,18-24,633,Hyderabad,Silk,Polka Dot,380,9226,0.21,Holi,Holi,4,Vintage Clothing
2022,8,Summer,https://www.myntra.com/lx5hji9ey0,9F3D8Q4OOPZC,Reebok,Accessories,Jewelry,Unisex,Limited edition,1423.06,2203.61,35.42,Green,64,Stable,XL,25-34,672,Ahmedabad,Silk,Checked,307,581,0.1,Eid,Eid,3,Business Formals
2022,10,Summer,https://www.myntra.com/py1630sr0i,FWJODF2TQ6JA,Gucci,Accessories,Hats,Unisex,Trendy and stylish,4789.57,5526.49,13.33,Green,561,Declining,S,35-44,683,Ahmedabad,Wool,Floral,219,6313,0.09,New Year,New Year,5,Formal Wear
2022,7,Summer,https://www.myntra.com/hey9umczbi,3705NNC7X6Y6,Levis,Clothing,T-Shirts,Men,Comfortable and durable,744.84,856.11,13,Green,203,Declining,S,18-24,541,Chennai,Denim,Printed,276,394,0.29,New Year,New Year,1,Sports and Active Wear
2022,9,Fall,https://www.myntra.com/k2avv3xqcl,WSNGNWU57J9W,Levis,Clothing,T-Shirts,Women,Eco-friendly material,3091.91,4242.63,27.12,Yellow,633,Growing,M,25-34,762,Jaipur,Polyester,Printed,140,1300,0.24,Diwali,Diwali,2,Formal Wear
2022,10,Winter,https://www.myntra.com/07lr74a84y,JTE7IJURREV4,Under Armour,Clothing,Jackets,Unisex,Trendy and stylish,3721.73,7220.04,48.45,White,398,Growing,XL,35-44,183,Pune,Wool,Solid,430,4193,0.08,Diwali,Diwali,5,Streetwear
2022,2,Spring,https://www.myntra.com/scyru36tpu,987TWYTIDFK1,Gucci,Accessories,Jewelry,Women,Comfortable and durable,3726.15,6641.65,43.9,Red,389,Stable,S,25-34,729,Bangalore,Silk,Solid,303,7544,0.18,Navratri,Navratri,2,Business Formals
2022,10,Summer,https://www.myntra.com/19tqlz36h4,M3OTREXVX978,Prada,Accessories,Watches,Men,Comfortable and durable,1959.16,3683.75,46.82,Blue,605,Growing,XL,25-34,729,Jaipur,Silk,Printed,384,8476,0.24,Christmas,Christmas,1,Western Wear
2022,1,Spring,https://www.myntra.com/lt90igsm28,Z6LCJS4XU0WB,Levis,Accessories,Watches,Women,High quality product,3923.43,4787.51,18.05,Yellow,259,Growing,XS,25-34,655,Pune,Polyester,Checked,394,1562,0.15,Navratri,Navratri,3,Vintage Clothing
2022,12,Winter,https://www.myntra.com/m2lesvye2t,F0PBC6S4XJ80,Levis,Clothing,Jeans,Unisex,Eco-friendly material,761.14,1028.04,25.96,Orange,219,Growing,L,18-24,285,Delhi,Polyester,Checked,458,9608,0.14,Diwali,Diwali,5,Beachwear
2022,3,Spring,https://www.myntra.com/cc34shrw1a,HG8XJOG9S2GI,Under Armour,Clothing,Jeans,Women,High quality product,4681.34,5211.64,10.18,Green,561,Stable,XL,25-34,526,Mumbai,Leather,Striped,50,6336,0.22,Eid,Eid,4,Athleisure
2022,5,Fall,https://www.myntra.com/6om2521rea,GIW7PUM8O7RC,Under Armour,Accessories,Belts,Women,Comfortable and durable,960.26,1905.86,49.62,Red,223,Growing,XXL,35-44,882,Ahmedabad,Wool,Checked,65,5009,0.1,New Year,New Year,1,Western Wear
2022,6,Winter,https://www.myntra.com/pyp2op62pk,5NEGJUBJWIMC,Puma,Clothing,Shirts,Men,High quality product,1708.65,2260.26,24.4,Red,620,Stable,S,35-44,548,Hyderabad,Cotton,Floral,295,6732,0.29,Christmas,Christmas,2,Casual Wear
2022,5,Summer,https://www.myntra.com/114rukm4vo,FZ11B9RTAVIM,Puma,Footwear,Sneakers,Men,Limited edition,1589.87,2257.55,29.58,Brown,132,Growing,XXL,18-24,42,Hyderabad,Denim,Striped,59,7785,0.13,Eid,Eid,1,Urban Fashion
2022,9,Spring,https://www.myntra.com/1jyv82phrz,BVRAZF36RVPQ,Prada,Accessories,Handbags,Unisex,Eco-friendly material,2149.31,3571.87,39.83,Black,554,Declining,XL,25-34,113,Ahmedabad,Cotton,Striped,98,4962,0.14,Holi,Holi,3,Indian and Fusion Wear
2022,4,Spring,https://www.myntra.com/sm1hmojuap,QXDLAREP8X56,Nike,Accessories,Watches,Unisex,Trendy and stylish,1132.9,1633.04,30.63,White,802,Growing,XL,18-24,73,Delhi,Cotton,Striped,55,900,0.02,Diwali,Diwali,1,Athleisure
2022,8,Spring,https://www.myntra.com/dqj65553v4,F2NI8VQ4J2ZU,Levis,Footwear,Sandals,Women,Limited edition,1376.44,1936.55,28.92,Green,58,Stable,L,25-34,896,Hyderabad,Leather,Printed,41,695,0.07,Navratri,Navratri,4,Beachwear
2022,1,Winter,https://www.myntra.com/c78lgjru8s,MB3M5TWXPAE0,H&M,Footwear,Sandals,Unisex,Comfortable and durable,4373.24,6241.48,29.93,Purple,407,Stable,L,35-44,682,Bangalore,Denim,Solid,270,6699,0.02,Eid,Eid,3,Workout Gear
2022,12,Spring,https://www.myntra.com/2hzs9t2lx5,I1GF6ADNOBSJ,Gucci,Footwear,Flip Flops,Unisex,High quality product,1756.67,3004.95,41.54,Pink,914,Declining,XL,35-44,777,Delhi,Wool,Striped,130,4051,0.05,Holi,Holi,2,Sports and Active Wear
2022,11,Winter,https://www.myntra.com/mpc8w828t2,2A0KNCND73CV,Under Armour,Accessories,Handbags,Men,Trendy and stylish,2429.32,3365.08,27.81,Pink,576,Declining,L,35-44,46,Bangalore,Wool,Polka Dot,145,2265,0.26,Diwali,Diwali,5,Party Wear
2022,11,Spring,https://www.myntra.com/4n73zu2cg8,U4XYWGU1QI0Q,Prada,Clothing,Dresses,Unisex,Limited edition,4205.99,5654.54,25.62,Green,175,Stable,L,18-24,411,Ahmedabad,Cotton,Polka Dot,251,2227,0.1,Diwali,Diwali,1,Vintage Clothing
2022,8,Fall,https://www.myntra.com/kck4g7b68c,MUDWMFWID9DF,Reebok,Accessories,Belts,Men,Eco-friendly material,4173.15,7787.91,46.42,Black,474,Declining,XL,25-34,50,Ahmedabad,Wool,Striped,160,1661,0.13,Diwali,Diwali,2,Urban Fashion
2022,3,Fall,https://www.myntra.com/h111yw12wv,P8ACOMASLLPR,Prada,Footwear,Sneakers,Men,Comfortable and durable,4419.12,8369.39,47.2,Pink,981,Declining,M,35-44,497,Delhi,Polyester,Checked,313,3082,0.01,Eid,Eid,5,Beachwear
2022,11,Spring,https://www.myntra.com/mbyaxvtfzn,IZSJW4WZA5YQ,Adidas,Clothing,Shirts,Women,Comfortable and durable,1016.73,1774.53,42.7,Pink,508,Declining,S,35-44,539,Chandigarh,Polyester,Solid,196,8005,0.09,Christmas,Christmas,2,Maternity
2022,11,Spring,https://www.myntra.com/bjqnkstiwj,XCAQO7DU1NB1,Adidas,Accessories,Handbags,Women,High quality product,2167.45,3158.11,31.37,Brown,274,Declining,XL,35-44,430,Chandigarh,Denim,Printed,302,3655,0.07,Christmas,Christmas,2,Urban Fashion
2022,1,Winter,https://www.myntra.com/fiejlulg17,4MB8UYZ847H4,Gucci,Accessories,Belts,Women,Trendy and stylish,1651.22,2882.35,42.71,Brown,809,Growing,M,25-34,710,Chennai,Leather,Polka Dot,331,7121,0.14,Diwali,Diwali,2,Minimalist Fashion
2022,3,Summer,https://www.myntra.com/r62ffi7h73,HBLBHBTKMX1D,Gucci,Footwear,Flip Flops,Unisex,Trendy and stylish,2516.41,4020.94,37.42,Yellow,696,Declining,XL,35-44,224,Hyderabad,Wool,Printed,376,2119,0.02,Eid,Eid,4,Maternity
2022,4,Spring,https://www.myntra.com/p8ocerw1ed,MFVCY3PZOZJJ,Prada,Footwear,Sandals,Men,Trendy and stylish,3928.23,5778.77,32.02,Purple,526,Growing,XS,25-34,994,Bangalore,Wool,Printed,264,4994,0.13,Christmas,Christmas,2,Indian and Fusion Wear
2022,7,Fall,https://www.myntra.com/51l4t105g1,8Y440Z2W2A1X,H&M,Accessories,Belts,Women,Comfortable and durable,4614.8,8040.93,42.61,Orange,405,Growing,XXL,35-44,525,Hyderabad,Silk,Floral,332,3799,0.18,Eid,Eid,4,Vintage Clothing
2022,1,Fall,https://www.myntra.com/meh3c137c3,IBKN4C0F4GK2,Prada,Accessories,Hats,Men,Trendy and stylish,1296.18,2124.63,38.99,Yellow,870,Growing,L,25-34,494,Kolkata,Silk,Striped,244,6111,0.08,Eid,Eid,4,Workout Gear
2022,1,Winter,https://www.myntra.com/btskoebp18,K6QA5F6R9QO6,Prada,Clothing,Jeans,Unisex,Trendy and stylish,2404.76,3544.23,32.15,Orange,265,Declining,L,18-24,901,Mumbai,Cotton,Printed,465,532,0.15,Holi,Holi,5,Traditional Wear
2022,10,Spring,https://www.myntra.com/13oles4zdm,HDZ8G1H844FO,Levis,Clothing,Jeans,Men,Trendy and stylish,1798.94,2219.46,18.95,Brown,289,Stable,XS,18-24,624,Bangalore,Leather,Solid,228,5736,0.21,Holi,Holi,5,Western Wear
2022,3,Spring,https://www.myntra.com/kwasf7om1w,FPK1Y57AT54J,Levis,Accessories,Handbags,Men,Eco-friendly material,3850.07,6426.82,40.09,Orange,655,Stable,XL,35-44,78,Chennai,Denim,Polka Dot,62,6445,0.2,Holi,Holi,5,Beachwear
2022,4,Fall,https://www.myntra.com/gq5jgk8m5o,5JN2A64KOJW1,Nike,Footwear,Sandals,Men,High quality product,1742.12,2891.23,39.74,Yellow,394,Declining,L,18-24,805,Hyderabad,Polyester,Printed,104,1829,0.26,Diwali,Diwali,5,Casual Wear
2022,5,Fall,https://www.myntra.com/ic7wjs0me4,K407GB1HETKK,Adidas,Clothing,Shirts,Unisex,Trendy and stylish,2093.16,4023.31,47.97,Yellow,409,Stable,L,35-44,375,Ahmedabad,Polyester,Floral,114,5144,0.01,Holi,Holi,3,Vintage Clothing
2022,8,Spring,https://www.myntra.com/6fanujzdcf,1L2K5B7TI5Q0,Prada,Clothing,Dresses,Unisex,Comfortable and durable,1502.76,2612.81,42.48,Blue,570,Stable,M,35-44,850,Chennai,Polyester,Striped,75,1778,0.18,Navratri,Navratri,2,Minimalist Fashion
2022,12,Spring,https://www.myntra.com/q44n6fb9d4,1FDNR608KJFU,Puma,Clothing,Dresses,Unisex,Limited edition,2822.83,3936.44,28.29,Pink,953,Stable,L,18-24,885,Bangalore,Polyester,Striped,110,6850,0.04,Diwali,Diwali,1,Retro Style
2022,3,Spring,https://www.myntra.com/mx4tf4ez6t,CDFCZ18X2483,Gucci,Accessories,Belts,Women,High quality product,2868.23,5027.49,42.95,White,520,Growing,XL,18-24,343,Pune,Wool,Striped,200,3149,0.24,New Year,New Year,4,Minimalist Fashion
2022,3,Summer,https://www.myntra.com/zlbbl727o3,FTI3UOHAEACN,Reebok,Clothing,Jackets,Women,Trendy and stylish,3030.61,4494.1,32.56,Red,264,Declining,XXL,35-44,580,Jaipur,Wool,Checked,368,8533,0.27,Christmas,Christmas,4,Casual Wear
2022,8,Spring,https://www.myntra.com/849wvv3m00,JD7M3A2Q40WW,Zara,Clothing,Shirts,Women,Eco-friendly material,2853.06,4258.83,33.01,Green,60,Stable,L,35-44,588,Delhi,Wool,Striped,260,3326,0.06,New Year,New Year,2,Minimalist Fashion
2022,1,Spring,https://www.myntra.com/emidk2m92y,RAX1KTJOBKUB,Adidas,Accessories,Hats,Women,Trendy and stylish,4965.92,9301.76,46.61,Pink,664,Declining,L,35-44,59,Chandigarh,Silk,Polka Dot,433,7854,0.29,New Year,New Year,4,Urban Fashion
2022,4,Fall,https://www.myntra.com/5shak8tx7o,9OA7KAIQXG24,Nike,Footwear,Boots,Women,High quality product,1955.73,3751.73,47.87,Blue,982,Declining,XS,18-24,702,Bangalore,Silk,Checked,476,4292,0.21,Diwali,Diwali,1,Bohemian Style
